slug	title	remaining_gaps
manga-de-wakaru-shinryounaika	マンガで分かる心療内科	standard:[18, 23, 25]
umi-no-ouji-2009	海の王子	(1巻が無い):[1]
yuri-shoujo	百合少女	(1巻が無い):[1, 2]
cafe	cafe	(1巻が無い):[1, 2, 3, 4, 5]
goshujin-sama-no-oshioki	ご主人様のおしおき?	standard:[2]
nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	(1巻が無い):[1]
gororo-mamonogatari	ゴロロ mamonogatari	(1巻が無い):[1, 2, 3]
transistor-teaset-denki-gairozu	トランジスタティーセット	(1巻が無い):[1, 2, 3, 4]
baka-to-test-to-shoukanjuu-supinauto-sore-ga-bokura-no-nichijou	バカとテストと召喚獣→spinout! それが僕らの日常。	(1巻が無い):[1, 2, 3]
marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second Season	(1巻が無い):[1, 2, 3]
gensou-labyrinth	幻想ラビリンス	(1巻が無い):[1, 2, 3, 4]
tousei-gensou-hakubutsushi	当世幻想博物誌	(1巻が無い):[1]
kaina-surugajou-gozen-jiai	腕 駿河城御前試合	(1巻が無い):[1]
mahoujin-guruguru-gaiden-mai-yuuden-kitakita	魔法陣グルグル外伝舞勇伝キタキタ	(1巻が無い):[1, 2, 3]
blife	BLife	(1巻が無い):[1]
momopan-clover-2012	MOMOPAN	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]
karabuki-shitene	からぶき♥してね	(1巻が無い):[1]
elysion	エリュシオン	(1巻が無い):[1, 2, 3, 4]
gaddesu-megami-no-ketsumyaku	ガッデス 女神の血脈	(1巻が無い):[1]
majikyuu-4-koma-maji-de-watashi-ni-koishinasai-s	マジキュー4コマ真剣で私に恋しなさい!S	(1巻が無い):[1, 2, 3, 4]
manga-de-shitashimu-izumo-shinwa	マンガで親しむ出雲神話	(1巻が無い):[1, 2, 3]
mondeki	モンでき。	(1巻が無い):[1]
koyoi-omae-to	今宵おまえと	(1巻が無い):[1]
kizuato	痕	(1巻が無い):[1]
arakure-neverland	荒くれネバーランド	(1巻が無い):[1]
bolts-and-nuts-prologue	BOLTS AND NUTS!Prologue	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
