slug	edition_type	label	vols	isbn欠け	書影も無し	欠け巻番号
arashi-no-hatoba	standard	通常版	2	1	1	2
ariel-comic	standard	通常版	6	1	1	8
asendanto	standard	通常版	6	1	1	4
atashihakai	standard	通常版	2	1	1	2
atchi-muite-paa	standard	通常版	2	1	1	2
baajin-road	standard	通常版	6	1	1	1
bar-lemon-heart	bunkobon	文庫版	26	1	1	14
baragara-no-hoshii-toshigoro	wideban	ワイド版	2	1	1	2
bed-no-naka-de-shinitaino	standard	通常版	2	1	1	2
begin-the-beguine	standard	通常版	2	1	1	2
beni-bara-kuro-bara	standard	通常版	2	1	1	1
big-rival	standard	通常版	2	1	1	3
birdy-birdy	standard	通常版	6	1	1	6
bokutachi-no-sorairo	standard	通常版	2	1	1	2
busuttare-aiko	standard	通常版	3	1	1	1
candy-candy	standard	通常版	9	1	1	6
captain-ultra	standard	通常版	2	1	1	2
charenjaa-aaa	standard	通常版	2	1	1	2
chikara-no-arika	standard	通常版	2	1	1	2
chikyuu-hyoukai-gotoki-no	deluxe	デラックス版	2	1	1	2
chikyuuwonomu	bunkobon	小学館文庫(1977)	2	1	1	1
china-girl	standard	通常版	12	1	1	11
choco-banana	standard	通常版	14	1	1	16
choubaku-madouden-slayers	standard	通常版	8	1	1	1
choujin-baromu-1	standard	通常版	2	1	1	2
choukyori-love-no-kodoku	standard	通常版	3	1	1	1
color	standard	通常版	2	1	1	1
comic-cue	standard	通常版	2	1	1	2
d	standard	通常版	2	1	1	2
dark-angel-1993	standard	通常版	3	1	1	2
