slug	title	authors	year	publisher	total_volumes
ore-wa-mandayuu	おれは万太夫	川三番地	1981	kodansha	3
onna-kyoushi	おんな教師	上村一夫	1981	shogakukan	6
gan-gara-gan	がんがらがん	長谷川法世	1981	shogakukan	8
kiraraboshi-no-daiyogen	きらら星の大予言	あさぎり夕	1981	kodansha	2
korede-kyoudai	これで兄妹!!	柳沢きみお	1981	kodansha	1
sayonara-ganpeki-sensei	さよなら!!岸壁先生	一文字鈴	1981	akita	5
soko-kara-saki-wa-ke-sera-sera	そこからさきはケ★セラ★聖良	西尚美	1981	kodansha	1
sore-wa-d-kara-hajimatta	それはDから始まった	おおにし真	1981	kodansha	1
chotto-aventure	ちょっとアバンチュール	成毛厚子	1981	kodansha	1
tokimeki-no-jin	ときめきのジン	村生ミオ	1981	tairiku-shobo	9
norakuro-kissaten	のらくろ喫茶店	田河水泡	1981	kodansha	2
norakuro-torimonochou	のらくろ捕物帳	田河水泡	1981	kodansha	2
futari-no-koukyoushi	ふたりの交響詩	小室しげ子	1981	kodansha	2
maicching-machiko-sensei	まいっちんぐマチコ先生	えびはら武司	1981	gakken	8
